Sexo;Categoria;Deporte;F.Nacimiento;Nombre_Equipo;Temporada;Municipio;C.P.;Competicion;Instalacion;Distrito
MASCULINO;INFANTIL                                          ;SALVAMENTO Y SOCORRISMO                           ;15/03/2007;CDM A. GOYENECHE                                  ;2020;MADRID                                            ;28023;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;CADETE                                            ;SALVAMENTO Y SOCORRISMO                           ;01/08/2006;CDM A. GOYENECHE                                  ;2020;ARAVACA                                           ;28023;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;CADETE                                            ;SALVAMENTO Y SOCORRISMO                           ;12/09/2006;CDM A. GOYENECHE                                  ;2020;ARAVACA                                           ;28023;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;JUVENIL                                           ;SALVAMENTO Y SOCORRISMO                           ;19/09/2003;CDM A. GOYENECHE                                  ;2020;MADRID                                            ;28023;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;JUVENIL                                           ;SALVAMENTO Y SOCORRISMO                           ;15/10/2003;CDM A. GOYENECHE                                  ;2020;MADRID                                            ;28023;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;JUVENIL                                           ;SALVAMENTO Y SOCORRISMO                           ;04/09/2003;CDM A. GOYENECHE                                  ;2020;MADRID                                            ;28023;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;JUVENIL                                           ;SALVAMENTO Y SOCORRISMO                           ;13/10/2004;CDM A. GOYENECHE                                  ;2020;MADRID                                            ;28023;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;INFANTIL                                          ;TENIS                                             ;13/03/2008;LA BOMBILLA                                       ;2020;MADRID                                            ;28008;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;INFANTIL                                          ;TENIS                                             ;28/10/2008;LA BOMBILLA                                       ;2020;MADRID                                            ;28008;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;INFANTIL                                          ;TENIS                                             ;06/09/2008;LA BOMBILLA                                       ;2020;MADRID                                            ;28008;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;INFANTIL                                          ;TENIS                                             ;01/04/2008;LA BOMBILLA                                       ;2020;MADRID                                            ;28008;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;INFANTIL                                          ;TENIS                                             ;16/03/2007;LA BOMBILLA                                       ;2020;MADRID                                            ;28008;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;INFANTIL                                          ;TENIS                                             ;26/03/2007;LA BOMBILLA                                       ;2020;MADRID                                            ;28008;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;INFANTIL                                          ;TENIS                                             ;12/04/2007;LA BOMBILLA                                       ;2020;MADRID                                            ;28008;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;INFANTIL                                          ;TENIS                                             ;05/06/2007;LA BOMBILLA                                       ;2020;MADRID                                            ;28008;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;CADETE                                            ;TENIS                                             ;07/03/2005;LA BOMBILLA                                       ;2020;MADRID                                            ;28008;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;CADETE                                            ;TENIS                                             ;18/03/2005;LA BOMBILLA                                       ;2020;MADRID                                            ;28008;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;CADETE                                            ;TENIS                                             ;06/04/2005;LA BOMBILLA                                       ;2020;MADRID                                            ;28008;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;CADETE                                            ;TENIS                                             ;01/07/2005;LA BOMBILLA                                       ;2020;MADRID                                            ;28008;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;CADETE                                            ;TENIS                                             ;21/12/2005;LA BOMBILLA                                       ;2020;MADRID                                            ;28008;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;CADETE                                            ;TENIS                                             ;29/03/2005;LA BOMBILLA                                       ;2020;MADRID                                            ;28008;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;CADETE                                            ;TENIS                                             ;06/04/2005;LA BOMBILLA                                       ;2020;MADRID                                            ;28008;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;CADETE                                            ;TENIS                                             ;06/06/2006;LA BOMBILLA                                       ;2020;MADRID                                            ;28008;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;CADETE                                            ;TENIS                                             ;15/05/2006;LA BOMBILLA                                       ;2020;MADRID                                            ;28008;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;CADETE                                            ;TENIS                                             ;14/03/2006;LA BOMBILLA                                       ;2020;MADRID                                            ;28008;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;INFANTIL                                          ;TENIS                                             ;29/05/2009;FERNANDO MARTIN                                   ;2020;MADRID                                            ;28039;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;INFANTIL                                          ;TENIS                                             ;23/04/2008;FERNANDO MARTIN                                   ;2020;MADRID                                            ;28039;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;INFANTIL                                          ;TENIS                                             ;18/02/2008;FERNANDO MARTIN                                   ;2020;MADRID                                            ;28039;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;INFANTIL                                          ;TENIS                                             ;27/09/2007;FERNANDO MARTIN                                   ;2020;MADRID                                            ;28039;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;CADETE                                            ;TENIS                                             ;17/04/2005;FERNANDO MARTIN                                   ;2020;MADRID                                            ;28039;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;CADETE                                            ;TENIS                                             ;18/01/2006;FERNANDO MARTIN                                   ;2020;MADRID                                            ;28039;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;CADETE                                            ;TENIS                                             ;30/07/2005;FERNANDO MARTIN                                   ;2020;MADRID                                            ;28039;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;CADETE                                            ;TENIS                                             ;30/09/2005;FERNANDO MARTIN                                   ;2020;MADRID                                            ;28039;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;CADETE                                            ;TENIS                                             ;09/03/2006;FERNANDO MARTIN                                   ;2020;MADRID                                            ;28039;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;CADETE                                            ;TENIS                                             ;19/01/2006;FERNANDO MARTIN                                   ;2020;MADRID                                            ;28039;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;CADETE                                            ;TENIS                                             ;27/03/2006;FERNANDO MARTIN                                   ;2020;MADRID                                            ;28039;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;CADETE                                            ;TENIS                                             ;03/09/2005;FERNANDO MARTIN                                   ;2020;MADRID                                            ;28039;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;CADETE                                            ;TENIS                                             ;01/12/2006;FERNANDO MARTIN                                   ;2020;MADRID                                            ;28039;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;CADETE                                            ;TENIS                                             ;18/05/2006;FERNANDO MARTIN                                   ;2020;MADRID                                            ;28039;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;CADETE                                            ;TENIS                                             ;18/04/2006;FERNANDO MARTIN                                   ;2020;MADRID                                            ;28039;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;CADETE                                            ;TENIS                                             ;24/01/2006;FERNANDO MARTIN                                   ;2020;MADRID                                            ;28039;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;ALEVIN                                            ;TENIS                                             ;08/12/2009;CLUB DEPORTIVO ALBORÁN                            ;2020;Madrid                                            ;28017;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;ALEVIN                                            ;TENIS                                             ;30/12/2009;CLUB DEPORTIVO ALBORÁN                            ;2020;Madrid                                            ;28017;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;ALEVIN                                            ;TENIS                                             ;16/02/2011;CLUB DEPORTIVO ALBORÁN                            ;2020;Madrid                                            ;28017;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;ALEVIN                                            ;TENIS                                             ;21/05/2009;CLUB DEPORTIVO ALBORÁN                            ;2020;Madrid                                            ;28017;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;INFANTIL                                          ;TENIS                                             ;22/05/2007;CLUB DEPORTIVO ALBORÁN                            ;2020;Madrid                                            ;28017;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;INFANTIL                                          ;TENIS                                             ;28/03/2007;CLUB DEPORTIVO ALBORÁN                            ;2020;Madrid                                            ;28017;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;INFANTIL                                          ;TENIS                                             ;21/08/2007;CLUB DEPORTIVO ALBORÁN                            ;2020;Madrid                                            ;28017;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;CADETE                                            ;TENIS                                             ;05/07/2005;CLUB DEPORTIVO ALBORÁN                            ;2020;Madrid                                            ;28017;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;CADETE                                            ;TENIS                                             ;30/10/2006;CLUB DEPORTIVO ALBORÁN                            ;2020;Madrid                                            ;28017;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;CADETE                                            ;TENIS                                             ;01/01/2006;CLUB DEPORTIVO ALBORÁN                            ;2020;Madrid                                            ;28017;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;CADETE                                            ;TENIS                                             ;14/03/2006;CLUB DEPORTIVO ALBORÁN                            ;2020;Madrid                                            ;28017;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;CADETE                                            ;TENIS                                             ;22/01/2005;CLUB DEPORTIVO ALBORÁN                            ;2020;Madrid                                            ;28017;JUEGOS DEPORTIVOS MUNICIPALES                     ;MONTPELLIER                                       ;MONCLOA                  
MASCULINO;BENJAMIN                                          ;ATLETISMO                                         ;12/04/2012;ESCUELA MUNICIPAL VALLEHERMOSO ATLETISMO          ;2020;MADRID                                            ;28003;JUEGOS DEPORTIVOS MUNICIPALES                     ;NTRA SRA DE LAS VICTORIAS                         ;CHAMBERI                 
MASCULINO;BENJAMIN                                          ;ATLETISMO                                         ;09/12/2011;ESCUELA MUNICIPAL VALLEHERMOSO ATLETISMO          ;2020;MADRID                                            ;28003;JUEGOS DEPORTIVOS MUNICIPALES                     ;NTRA SRA DE LAS VICTORIAS                         ;CHAMBERI                 
MASCULINO;BENJAMIN                                          ;ATLETISMO                                         ;26/01/2011;ESCUELA MUNICIPAL VALLEHERMOSO ATLETISMO          ;2020;MADRID                                            ;28003;JUEGOS DEPORTIVOS MUNICIPALES                     ;NTRA SRA DE LAS VICTORIAS                         ;CHAMBERI                 
MASCULINO;BENJAMIN                                          ;ATLETISMO                                         ;18/05/2012;ESCUELA MUNICIPAL VALLEHERMOSO ATLETISMO          ;2020;MADRID                                            ;28003;JUEGOS DEPORTIVOS MUNICIPALES                     ;NTRA SRA DE LAS VICTORIAS                         ;CHAMBERI                 
MASCULINO;BENJAMIN                                          ;ATLETISMO                                         ;17/05/2011;ESCUELA MUNICIPAL VALLEHERMOSO ATLETISMO          ;2020;MADRID                                            ;28003;JUEGOS DEPORTIVOS MUNICIPALES                     ;NTRA SRA DE LAS VICTORIAS                         ;CHAMBERI                 
MASCULINO;BENJAMIN                                          ;ATLETISMO                                         ;14/04/2012;ESCUELA MUNICIPAL VALLEHERMOSO ATLETISMO          ;2020;MADRID                                            ;28003;JUEGOS DEPORTIVOS MUNICIPALES                     ;NTRA SRA DE LAS VICTORIAS                         ;CHAMBERI                 
MASCULINO;BENJAMIN                                          ;ATLETISMO                                         ;13/09/2011;ESCUELA MUNICIPAL VALLEHERMOSO ATLETISMO          ;2020;MADRID                                            ;28003;JUEGOS DEPORTIVOS MUNICIPALES                     ;NTRA SRA DE LAS VICTORIAS                         ;CHAMBERI                 
MASCULINO;BENJAMIN                                          ;ATLETISMO                                         ;14/07/2011;ESCUELA MUNICIPAL VALLEHERMOSO ATLETISMO          ;2020;MADRID                                            ;28003;JUEGOS DEPORTIVOS MUNICIPALES                     ;NTRA SRA DE LAS VICTORIAS                         ;CHAMBERI                 
MASCULINO;BENJAMIN                                          ;ATLETISMO                                         ;13/03/2011;ESCUELA MUNICIPAL VALLEHERMOSO ATLETISMO          ;2020;MADRID                                            ;28003;JUEGOS DEPORTIVOS MUNICIPALES                     ;NTRA SRA DE LAS VICTORIAS                         ;CHAMBERI                 
MASCULINO;BENJAMIN                                          ;ATLETISMO                                         ;18/01/2012;ESCUELA MUNICIPAL VALLEHERMOSO ATLETISMO          ;2020;MADRID                                            ;28003;JUEGOS DEPORTIVOS MUNICIPALES                     ;NTRA SRA DE LAS VICTORIAS                         ;CHAMBERI                 
MASCULINO;BENJAMIN                                          ;ATLETISMO                                         ;21/10/2012;ESCUELA MUNICIPAL VALLEHERMOSO ATLETISMO          ;2020;MADRID                                            ;28003;JUEGOS DEPORTIVOS MUNICIPALES                     ;NTRA SRA DE LAS VICTORIAS                         ;CHAMBERI                 
MASCULINO;BENJAMIN                                          ;ATLETISMO                                         ;10/10/2012;ESCUELA MUNICIPAL VALLEHERMOSO ATLETISMO          ;2020;MADRID                                            ;28003;JUEGOS DEPORTIVOS MUNICIPALES                     ;NTRA SRA DE LAS VICTORIAS                         ;CHAMBERI                 
MASCULINO;BENJAMIN                                          ;ATLETISMO                                         ;25/03/2011;ESCUELA MUNICIPAL VALLEHERMOSO ATLETISMO          ;2020;MADRID                                            ;28003;JUEGOS DEPORTIVOS MUNICIPALES                     ;NTRA SRA DE LAS VICTORIAS                         ;CHAMBERI                 
MASCULINO;BENJAMIN                                          ;ATLETISMO                                         ;23/03/2012;ESCUELA MUNICIPAL VALLEHERMOSO ATLETISMO          ;2020;MADRID                                            ;28003;JUEGOS DEPORTIVOS MUNICIPALES                     ;NTRA SRA DE LAS VICTORIAS                         ;CHAMBERI                 
MASCULINO;BENJAMIN                                          ;ATLETISMO                                         ;17/05/2011;ESCUELA MUNICIPAL VALLEHERMOSO ATLETISMO          ;2020;MADRID                                            ;28003;JUEGOS DEPORTIVOS MUNICIPALES                     ;NTRA SRA DE LAS VICTORIAS                         ;CHAMBERI                 
MASCULINO;BENJAMIN                                          ;ATLETISMO                                         ;11/06/2011;ESCUELA MUNICIPAL VALLEHERMOSO ATLETISMO          ;2020;MADRID                                            ;28003;JUEGOS DEPORTIVOS MUNICIPALES                     ;NTRA SRA DE LAS VICTORIAS                         ;CHAMBERI                 
MASCULINO;BENJAMIN                                          ;ATLETISMO                                         ;11/06/2011;ESCUELA MUNICIPAL VALLEHERMOSO ATLETISMO          ;2020;MADRID                                            ;28003;JUEGOS DEPORTIVOS MUNICIPALES                     ;NTRA SRA DE LAS VICTORIAS                         ;CHAMBERI                 
MASCULINO;BENJAMIN                                          ;ATLETISMO                                         ;12/01/2012;ESCUELA MUNICIPAL VALLEHERMOSO ATLETISMO          ;2020;MADRID                                            ;28003;JUEGOS DEPORTIVOS MUNICIPALES                     ;NTRA SRA DE LAS VICTORIAS                         ;CHAMBERI                 
MASCULINO;BENJAMIN                                          ;ATLETISMO                                         ;27/01/2012;ESCUELA MUNICIPAL VALLEHERMOSO ATLETISMO          ;2020;MADRID                                            ;28003;JUEGOS DEPORTIVOS MUNICIPALES                     ;NTRA SRA DE LAS VICTORIAS                         ;CHAMBERI                 
MASCULINO;BENJAMIN                                          ;ATLETISMO                                         ;16/12/2011;ESCUELA MUNICIPAL VALLEHERMOSO ATLETISMO          ;2020;MADRID                                            ;28003;JUEGOS DEPORTIVOS MUNICIPALES                     ;NTRA SRA DE LAS VICTORIAS                         ;CHAMBERI                 
MASCULINO;BENJAMIN                                          ;ATLETISMO                                         ;28/09/2011;ESCUELA MUNICIPAL VALLEHERMOSO ATLETISMO          ;2020;MADRID                                            ;28003;JUEGOS DEPORTIVOS MUNICIPALES                     ;NTRA SRA DE LAS VICTORIAS                         ;CHAMBERI                 
MASCULINO;BENJAMIN                                          ;ATLETISMO                                         ;18/10/2012;ESCUELA MUNICIPAL VALLEHERMOSO ATLETISMO          ;2020;MADRID                                            ;28003;JUEGOS DEPORTIVOS MUNICIPALES                     ;NTRA SRA DE LAS VICTORIAS                         ;CHAMBERI                 
MASCULINO;BENJAMIN                                          ;ATLETISMO                                         ;28/07/2012;ESCUELA MUNICIPAL VALLEHERMOSO ATLETISMO          ;2020;MADRID                                            ;28003;JUEGOS DEPORTIVOS MUNICIPALES                     ;NTRA SRA DE LAS VICTORIAS                         ;CHAMBERI                 
MASCULINO;BENJAMIN                                          ;ATLETISMO                                         ;10/06/2011;ESCUELA MUNICIPAL VALLEHERMOSO ATLETISMO          ;2020;MADRID                                            ;28003;JUEGOS DEPORTIVOS MUNICIPALES                     ;NTRA SRA DE LAS VICTORIAS                         ;CHAMBERI                 
MASCULINO;BENJAMIN                                          ;ATLETISMO                                         ;24/09/2012;ESCUELA MUNICIPAL VALLEHERMOSO ATLETISMO          ;2020;MADRID                                            ;28003;JUEGOS DEPORTIVOS MUNICIPALES                     ;NTRA SRA DE LAS VICTORIAS                         ;CHAMBERI                 
MASCULINO;BENJAMIN                                          ;ATLETISMO                                         ;06/04/2012;ESCUELA MUNICIPAL VALLEHERMOSO ATLETISMO          ;2020;MADRID                                            ;28003;JUEGOS DEPORTIVOS MUNICIPALES                     ;NTRA SRA DE LAS VICTORIAS                         ;CHAMBERI                 
MASCULINO;BENJAMIN                                          ;ATLETISMO                                         ;24/09/2011;ESCUELA MUNICIPAL VALLEHERMOSO ATLETISMO          ;2020;MADRID                                            ;28003;JUEGOS DEPORTIVOS MUNICIPALES                     ;NTRA SRA DE LAS VICTORIAS                         ;CHAMBERI                 
MASCULINO;BENJAMIN                                          ;ATLETISMO                                         ;07/11/2012;ESCUELA MUNICIPAL VALLEHERMOSO ATLETISMO          ;2020;MADRID                                            ;28003;JUEGOS DEPORTIVOS MUNICIPALES                     ;NTRA SRA DE LAS VICTORIAS                         ;CHAMBERI                 
MASCULINO;BENJAMIN                                          ;ATLETISMO                                         ;24/12/2012;ESCUELA MUNICIPAL VALLEHERMOSO ATLETISMO          ;2020;MADRID                                            ;28003;JUEGOS DEPORTIVOS MUNICIPALES                     ;NTRA SRA DE LAS VICTORIAS                         ;CHAMBERI                 
MASCULINO;BENJAMIN                                          ;ATLETISMO                                         ;26/09/2011;ESCUELA MUNICIPAL VALLEHERMOSO ATLETISMO          ;2020;MADRID                                            ;28003;JUEGOS DEPORTIVOS MUNICIPALES                     ;NTRA SRA DE LAS VICTORIAS                         ;CHAMBERI                 
MASCULINO;BENJAMIN                                          ;ATLETISMO                                         ;03/06/2011;ESCUELA MUNICIPAL VALLEHERMOSO ATLETISMO          ;2020;MADRID                                            ;28003;JUEGOS DEPORTIVOS MUNICIPALES                     ;NTRA SRA DE LAS VICTORIAS                         ;CHAMBERI                 
MASCULINO;BENJAMIN                                          ;ATLETISMO                                         ;05/12/2011;ESCUELA MUNICIPAL VALLEHERMOSO ATLETISMO          ;2020;MADRID                                            ;28003;JUEGOS DEPORTIVOS MUNICIPALES                     ;NTRA SRA DE LAS VICTORIAS                         ;CHAMBERI                 
MASCULINO;BENJAMIN                                          ;ATLETISMO                                         ;06/06/2011;ESCUELA MUNICIPAL VALLEHERMOSO ATLETISMO          ;2020;MADRID                                            ;28003;JUEGOS DEPORTIVOS MUNICIPALES                     ;NTRA SRA DE LAS VICTORIAS                         ;CHAMBERI                 
MASCULINO;ALEVIN                                            ;ATLETISMO                                         ;23/04/2010;ESCUELA MUNICIPAL VALLEHERMOSO ATLETISMO          ;2020;MADRID                                            ;28003;JUEGOS DEPORTIVOS MUNICIPALES                     ;NTRA SRA DE LAS VICTORIAS                         ;CHAMBERI                 
MASCULINO;ALEVIN                                            ;ATLETISMO                                         ;02/01/2009;ESCUELA MUNICIPAL VALLEHERMOSO ATLETISMO          ;2020;MADRID                                            ;28003;JUEGOS DEPORTIVOS MUNICIPALES                     ;NTRA SRA DE LAS VICTORIAS                         ;CHAMBERI                 
MASCULINO;ALEVIN                                            ;ATLETISMO                                         ;06/03/2009;ESCUELA MUNICIPAL VALLEHERMOSO ATLETISMO          ;2020;MADRID                                            ;28003;JUEGOS DEPORTIVOS MUNICIPALES                     ;NTRA SRA DE LAS VICTORIAS                         ;CHAMBERI                 
MASCULINO;ALEVIN                                            ;ATLETISMO                                         ;17/03/2009;ESCUELA MUNICIPAL VALLEHERMOSO ATLETISMO          ;2020;MADRID                                            ;28003;JUEGOS DEPORTIVOS MUNICIPALES                     ;NTRA SRA DE LAS VICTORIAS                         ;CHAMBERI                 
MASCULINO;ALEVIN                                            ;ATLETISMO                                         ;13/09/2011;ESCUELA MUNICIPAL VALLEHERMOSO ATLETISMO          ;2020;MADRID                                            ;28003;JUEGOS DEPORTIVOS MUNICIPALES                     ;NTRA SRA DE LAS VICTORIAS                         ;CHAMBERI                 
MASCULINO;ALEVIN                                            ;ATLETISMO                                         ;23/04/2010;ESCUELA MUNICIPAL VALLEHERMOSO ATLETISMO          ;2020;MADRID                                            ;28003;JUEGOS DEPORTIVOS MUNICIPALES                     ;NTRA SRA DE LAS VICTORIAS                         ;CHAMBERI                 
MASCULINO;ALEVIN                                            ;ATLETISMO                                         ;13/09/2009;ESCUELA MUNICIPAL VALLEHERMOSO ATLETISMO          ;2020;MADRID                                            ;28003;JUEGOS DEPORTIVOS MUNICIPALES                     ;NTRA SRA DE LAS VICTORIAS                         ;CHAMBERI                 
MASCULINO;ALEVIN                                            ;ATLETISMO                                         ;14/07/2009;ESCUELA MUNICIPAL VALLEHERMOSO ATLETISMO          ;2020;MADRID                                            ;28003;JUEGOS DEPORTIVOS MUNICIPALES                     ;NTRA SRA DE LAS VICTORIAS                         ;CHAMBERI                 
